L,N,k,instance_idx,n_colors,n_quartets,rng_seed,syk_generator_model,quartet_sampling_model,coupling_model,parent_coloring_model,numpy_version,networkx_version,quartets_sha256,coloring_sha256
4,16,1.0,5,16,42,5,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,8c4aa813083f5734336a34cbf731de543c2a6f6f337861338fd6d29d4799225c,3c8b43502ff5088210d43d2fac58395b00380190450dc2f652b2bfcfc3339a2f
4,16,1.0,6,17,38,6,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,1d1c9dfd331b69052abc4aede172457882122be150590acb7eda76c2b58e79b4,fa81296b727da5a430e18718ed5f7bdb210a6526e74b037cf4f0d19282309ebf
4,16,1.0,7,14,26,7,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,9c97bfc4d1262e84392bfb6b7938136295f67ad502b7fedb05f314225d25a408,891136fa37a392ad44b60c5bd56112e35fce974aefc7604c97846874a45eaa37
4,16,1.0,8,12,29,8,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,b069dab3c45015862d97fa674f2fc32bc493182da24be130996c086c79933d1c,be5575dea2f9127a7c2accec11cac3cdeeae51864cea9555206a296ee08440be
4,16,1.0,9,9,20,9,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,9e3b691648cb8bcf51ebaab1d418a937374f60ae5702753db16ce38034df0558,570177e476d4a57edaa9b8b8e232570193ae876053af9bc4e73307e3c4d40daa
4,16,2.0,0,24,63,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,f91f22e2c266a3859c53a82219b4a86c1f337344b96c5599198d1b0943980a1e,5f7ea9b7fb3c82feb0c81a9ff4a008d45607c6002a5fad920637d5448f33f5be
4,16,2.0,1,23,57,1,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,bcb675200519e33f64abf3b576873c83001fb9d2bf117a4bfc1e15182345b64b,91b545e58ba2b0aa166edf842e2179dfd4419cb9fadde60a9f661e56b08fb7b2
4,16,2.0,2,23,65,2,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,3dd8d6a9387559d4a3fb87c85b42bd51942b7568538ad3b54a480001e2d6ec73,70f3e35393c42f5af88b8421522243600c38189fd3c663fb4333ece4ed73f0ea
4,16,2.0,3,25,71,3,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,237753d8b9cdd79fc7fe2ab5d095b62df4dcad54b5f17551ebbe545555ccc501,a06b11939c130987de53a337587e4bce273bb7ee0ad16e4e61756a1947551b13
4,16,2.0,4,21,50,4,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,cb6add4ad50de1fa97d22bf28e2b5d3ce1143085f8000a92b1f316c497e0d45c,5ba68ff9ec351c59789cd8052180c109526e06d2633e90dac547f2e292f5e1ee
4,16,2.0,5,26,73,5,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,6376d0ce27e9c1a276ee17a14df4fe4816560dd5b94c0c6ecced8005da6cf5c0,cdf8449b482b5106d6fa44e18b1fa2d00198f6923e45266112178394496d2c03
4,16,2.0,6,31,81,6,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,661642b2c72428f32715e1cfdd64a71467daafa0b78f640f1fee11a4a6d97acf,479496af0ef59cdb2ed0cbbd544dd1f2c172d6aebda61611dd6fc236ecd043f5
4,16,2.0,7,22,51,7,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,2da35d5a34eafb58f4cf7bdaf6013d5997759dec0dbfc2a4557c99ead70bcdf4,6bb3a2660b35859aa5367d967ee5b3de86dbe2f8f0e3f9d672510753cd3e0253
4,16,2.0,8,23,62,8,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,9449571a8a181c0c0bc18a64b0f4d004cc161e2aeddecc8ea34b64172a0d901d,7963839ece971010363431a1b3359813a211c2965d0360ae90f3b87595cb5d53
4,16,2.0,9,19,44,9,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5362e9551459627f2dd1179095059940860f61ebc6adcfa816c8f4e1c276a2f0,da240d84be82598486131a1a9d7b108c8b926ff31000c81fb9eb151b3e611fa9
4,16,3.0,0,35,101,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,1a4aab3a4a1fe1c3b0f8a1617e9084d5ce5d5c9a21163444f090f6c4ef770aa1,0425445d27ed1e08b92a44f546ee2e8db30197df0bc06caf19c280b64fa067db
4,16,3.0,1,34,94,1,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,63636a78ec687e31734ef1e5b3af36979197497a1924a7eb2f85c2ca47fa5483,41bd2955d6c2f54898ecf83f57ddacdeec24ae464208e1f6ba9def2e42af57b1
4,16,3.0,2,34,95,2,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,7afbd029b2f3ce82d14a40c1dc4189b6522a9598f07ea2911571ab69b817b220,c22b24995341e057345f2ca2acbb8e8b9ad45404fe413a9ece4f9a43a705c61a
4,16,3.0,3,37,109,3,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,d743fe90c0fcd85e1a8ae94e5dcacc3b2ed9fb15f5a91641563b9d0e6b89795f,75cfc2acbfafd802471b40a1817e5b6fbaf749243bf2f234fc43d973f3d7c5dc
4,16,3.0,4,29,82,4,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,cad63a736a4d430590e3b399e4a986e83734169c35548ef6ce902f498a522358,133ce12fdfe8788e108f94c175392060c7fe4389edd15ee39dd95d544759d8e5
4,16,3.0,5,35,105,5,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,2f188d36d65014c0d586d944a4ea04324026e66ce54c157d81a80c38cd959224,b81cc1daea281e2512c6e2c911708bad2ad1e4310984625d61d553cf4891d8de
4,16,3.0,6,39,114,6,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,409529bd5930c74d3c168ca6dd2a051cd47894ac917a85e052848edc24489f5b,4c34813a891219343c919722cb9a123d58123c349e8cb8b106c0383fc8c25e6f
4,16,3.0,7,32,81,7,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,9a12c3f2747f1f72c8b5937173e501e4e5c99998264b1b034d05fb72859d42ee,8179010a81a7727a70207f4c704a7594464d49738fc2656c9774fdb7d69fa98a
4,16,3.0,8,35,98,8,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,92e5184d7a0244641076b0f0c0001e6aa2f7e6a18c49ceb36204bfb568b89b4d,e415bd12a0545df1a2b7cfb89d35c0ea1a5f7dbdc67d607b1920649e8a657e01
4,16,3.0,9,25,68,9,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,796b93451c1f8c3b928a7ed6114e44b85406acff1e71bbeae805b315bde64853,66896961d57ca9abc0e0d2bdac4ca2cfcc37d01987e68e9b8739df88eb0509e6
5,25,0.5,0,11,32,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,02bd2a39d3bd74beb5815c3059910dd54c01c657a0b952439ed9d8ba093373c2,21428e5b1da309ef11bd51378ef9bc22ad15be8b83ed3b7dfeee7c17a9ec06b4
5,25,0.5,1,10,31,1,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,33a0b15855acc2afc020961f008be952c50555d137d1842c3cbd2aaf10577653,cb3e4057a23df10994419a2d1e4634dc5eddce6894dc4bfa73ca130327bb2c03
5,25,0.5,2,8,24,2,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,46a6fc9af70d255dd5f37d37d9951339344d24fa46ae4c65ef2ef4f718841696,90aded7227bd56a312f14f53fc6503a2414a1e5ce10c65511a4ea66634891b9d
5,25,0.5,3,11,34,3,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,0707b86895ad74ed1d9068a454301fc40718dc533ccc5e13cf4f50190141f3ad,dcb4d0094a0fdc82655aa822f88679b146c8945f7e6962d03e03576a53961835
