L,N,k,instance_idx,baseline,n_colors,n_quartets,n_ancillas,total_qubits,cnot_depth,fp_cnot_depth,interaction_cnot_depth,total_2q_gates,total_cnots,total_idle_slots,spacetime_volume,p_2q,p_idle,mult_fidelity
4,16,1.0,2,pipelined,14,33,0,16,2564,2470,94,6816,7576,23312,41024,0.001,0.0001,0.00010614262583929781
4,16,1.0,2,pipelined,14,33,0,16,2564,2470,94,6816,7576,23312,41024,0.0001,1e-05,0.4006146653818012
4,16,1.0,2,pipelined,14,33,0,16,2564,2470,94,6816,7576,23312,41024,1e-05,1.0000000000000002e-06,0.9125865465775211
4,16,1.0,3,naive_pauli,15,34,0,16,548,0,548,548,548,7672,8768,0.001,0.0001,0.2683367532287014
4,16,1.0,3,naive_pauli,15,34,0,16,548,0,548,548,548,7672,8768,0.0001,1e-05,0.8767590009168583
4,16,1.0,3,naive_pauli,15,34,0,16,548,0,548,548,548,7672,8768,1e-05,1.0000000000000002e-06,0.9869340788057335
4,16,1.0,3,1d,15,34,0,16,844,740,104,1754,3314,4076,13504,0.001,0.0001,0.11503740225876541
4,16,1.0,3,1d,15,34,0,16,844,740,104,1754,3314,4076,13504,0.0001,1e-05,0.8055991647478439
4,16,1.0,3,1d,15,34,0,16,844,740,104,1754,3314,4076,13504,1e-05,1.0000000000000002e-06,0.9786158636147542
4,16,1.0,3,ancilla,15,34,4,20,2224,2120,104,6070,6966,26740,44480,0.001,0.0001,0.00015891028921232643
4,16,1.0,3,ancilla,15,34,4,20,2224,2120,104,6070,6966,26740,44480,0.0001,1e-05,0.4170989942680546
4,16,1.0,3,ancilla,15,34,4,20,2224,2120,104,6070,6966,26740,44480,1e-05,1.0000000000000002e-06,0.9162735560904424
4,16,1.0,3,primitive,15,34,0,16,3184,3080,104,8110,9006,30244,50944,0.001,0.0001,1.4539973107054325e-05
4,16,1.0,3,primitive,15,34,0,16,3184,3080,104,8110,9006,30244,50944,0.0001,1e-05,0.32841341097770504
4,16,1.0,3,primitive,15,34,0,16,3184,3080,104,8110,9006,30244,50944,1e-05,1.0000000000000002e-06,0.8946305666408113
4,16,1.0,3,pipelined,15,34,0,16,2764,2660,104,7390,8286,24964,44224,0.001,0.0001,5.066768164579283e-05
4,16,1.0,3,pipelined,15,34,0,16,2764,2660,104,7390,8286,24964,44224,0.0001,1e-05,0.37206816558686945
4,16,1.0,3,pipelined,15,34,0,16,2764,2660,104,7390,8286,24964,44224,1e-05,1.0000000000000002e-06,0.9058655513815422
4,16,1.0,4,naive_pauli,15,29,0,16,474,0,474,474,474,6636,7584,0.001,0.0001,0.32050085326531297
4,16,1.0,4,naive_pauli,15,29,0,16,474,0,474,474,474,6636,7584,0.0001,1e-05,0.8924697120702584
4,16,1.0,4,naive_pauli,15,29,0,16,474,0,474,474,474,6636,7584,1e-05,1.0000000000000002e-06,0.98868843530377
4,16,1.0,4,1d,15,29,0,16,820,722,98,1442,2720,4460,13120,0.001,0.0001,0.15126170713605408
4,16,1.0,4,1d,15,29,0,16,820,722,98,1442,2720,4460,13120,0.0001,1e-05,0.8279459260089181
4,16,1.0,4,1d,15,29,0,16,820,722,98,1442,2720,4460,13120,1e-05,1.0000000000000002e-06,0.981297037890703
4,16,1.0,4,ancilla,15,29,4,20,2194,2096,98,5936,6728,26648,43880,0.001,0.0001,0.0001833885872093434
4,16,1.0,4,ancilla,15,29,4,20,2194,2096,98,5936,6728,26648,43880,0.0001,1e-05,0.4231151078462935
4,16,1.0,4,ancilla,15,29,4,20,2194,2096,98,5936,6728,26648,43880,1e-05,1.0000000000000002e-06,0.9175866059277125
4,16,1.0,4,primitive,15,29,0,16,3154,3056,98,7976,8768,30224,50464,0.001,0.0001,1.665930246853646e-05
4,16,1.0,4,primitive,15,29,0,16,3154,3056,98,7976,8768,30224,50464,0.0001,1e-05,0.3329105665913559
4,16,1.0,4,primitive,15,29,0,16,3154,3056,98,7976,8768,30224,50464,1e-05,1.0000000000000002e-06,0.8958480979521616
4,16,1.0,4,pipelined,15,29,0,16,2734,2636,98,7256,8048,24944,43744,0.001,0.0001,5.8052943269011395e-05
4,16,1.0,4,pipelined,15,29,0,16,2734,2636,98,7256,8048,24944,43744,0.0001,1e-05,0.37716311111466755
4,16,1.0,4,pipelined,15,29,0,16,2734,2636,98,7256,8048,24944,43744,1e-05,1.0000000000000002e-06,0.9070983727424553
4,16,1.0,5,naive_pauli,16,42,0,16,626,0,626,626,626,8764,10016,0.001,0.0001,0.22251583046604592
4,16,1.0,5,naive_pauli,16,42,0,16,626,0,626,626,626,8764,10016,0.0001,1e-05,0.8604983606796579
4,16,1.0,5,naive_pauli,16,42,0,16,626,0,626,626,626,8764,10016,1e-05,1.0000000000000002e-06,0.9850882620498737
4,16,1.0,5,1d,16,42,0,16,851,746,105,1714,3194,4220,13616,0.001,0.0001,0.1180226559737057
4,16,1.0,5,1d,16,42,0,16,851,746,105,1714,3194,4220,13616,0.0001,1e-05,0.8076642963793995
4,16,1.0,5,1d,16,42,0,16,851,746,105,1714,3194,4220,13616,1e-05,1.0000000000000002e-06,0.9788664232331223
4,16,1.0,5,ancilla,16,42,4,20,2329,2224,105,6410,7274,28160,46580,0.001,0.0001,9.811719291687823e-05
4,16,1.0,5,ancilla,16,42,4,20,2329,2224,105,6410,7274,28160,46580,0.0001,1e-05,0.3974709377477584
4,16,1.0,5,ancilla,16,42,4,20,2329,2224,105,6410,7274,28160,46580,1e-05,1.0000000000000002e-06,0.9118677279375064
4,16,1.0,5,primitive,16,42,0,16,3353,3248,105,8586,9450,31996,53648,0.001,0.0001,7.579556609468103e-06
4,16,1.0,5,primitive,16,42,0,16,3353,3248,105,8586,9450,31996,53648,0.0001,1e-05,0.30770783536727053
4,16,1.0,5,primitive,16,42,0,16,3353,3248,105,8586,9450,31996,53648,1e-05,1.0000000000000002e-06,0.8888236382661365
4,16,1.0,5,pipelined,16,42,0,16,2905,2800,105,7818,8682,26364,46480,0.001,0.0001,2.8704879370368164e-05
4,16,1.0,5,pipelined,16,42,0,16,2905,2800,105,7818,8682,26364,46480,0.0001,1e-05,0.351522903402728
4,16,1.0,5,pipelined,16,42,0,16,2905,2800,105,7818,8682,26364,46480,1e-05,1.0000000000000002e-06,0.9007348002142238
4,16,1.0,6,naive_pauli,17,38,0,16,576,0,576,576,576,8064,9216,0.001,0.0001,0.2508930528702635
4,16,1.0,6,naive_pauli,17,38,0,16,576,0,576,576,576,8064,9216,0.0001,1e-05,0.8708867936759607
4,16,1.0,6,naive_pauli,17,38,0,16,576,0,576,576,576,8064,9216,1e-05,1.0000000000000002e-06,0.9862710803225795
4,16,1.0,6,1d,17,38,0,16,932,824,108,1822,3434,4676,14912,0.001,0.0001,0.10121229986482426
4,16,1.0,6,1d,17,38,0,16,932,824,108,1822,3434,4676,14912,0.0001,1e-05,0.7953529151452775
4,16,1.0,6,1d,17,38,0,16,932,824,108,1822,3434,4676,14912,1e-05,1.0000000000000002e-06,0.977364033033218
4,16,1.0,6,ancilla,17,38,4,20,2482,2374,108,6766,7678,30048,49640,0.001,0.0001,5.6893155898662875e-05
4,16,1.0,6,ancilla,17,38,4,20,2482,2374,108,6766,7678,30048,49640,0.0001,1e-05,0.37639530880804717
4,16,1.0,6,ancilla,17,38,4,20,2482,2374,108,6766,7678,30048,49640,1e-05,1.0000000000000002e-06,0.9069133634529628
4,16,1.0,6,primitive,17,38,0,16,3570,3462,108,9078,9990,34116,57120,0.001,0.0001,3.747908452261301e-06
4,16,1.0,6,primitive,17,38,0,16,3570,3462,108,9078,9990,34116,57120,0.0001,1e-05,0.286789409079019
4,16,1.0,6,primitive,17,38,0,16,3570,3462,108,9078,9990,34116,57120,1e-05,1.0000000000000002e-06,0.8825882713698859
4,16,1.0,6,pipelined,17,38,0,16,3094,2986,108,8262,9174,28132,49504,0.001,0.0001,1.5425718246800027e-05
4,16,1.0,6,pipelined,17,38,0,16,3094,2986,108,8262,9174,28132,49504,0.0001,1e-05,0.330363168391382
4,16,1.0,6,pipelined,17,38,0,16,3094,2986,108,8262,9174,28132,49504,1e-05,1.0000000000000002e-06,0.8951603388771927
4,16,1.0,7,naive_pauli,14,26,0,16,388,0,388,388,388,5432,6208,0.001,0.0001,0.39399333296296984
4,16,1.0,7,naive_pauli,14,26,0,16,388,0,388,388,388,5432,6208,0.0001,1e-05,0.9110821485656649
4,16,1.0,7,naive_pauli,14,26,0,16,388,0,388,388,388,5432,6208,1e-05,1.0000000000000002e-06,0.9907312004943291
4,16,1.0,7,1d,14,26,0,16,796,712,84,1440,2734,4160,12736,0.001,0.0001,0.15618075107151866
4,16,1.0,7,1d,14,26,0,16,796,712,84,1440,2734,4160,12736,0.0001,1e-05,0.8305996173462118
4,16,1.0,7,1d,14,26,0,16,796,712,84,1440,2734,4160,12736,1e-05,1.0000000000000002e-06,0.9816111034360079
4,16,1.0,7,ancilla,14,26,4,20,2040,1956,84,5546,6298,24708,40800,0.001,0.0001,0.00032891921045182513
4,16,1.0,7,ancilla,14,26,4,20,2040,1956,84,5546,6298,24708,40800,0.0001,1e-05,0.44856173140495875
4,16,1.0,7,ancilla,14,26,4,20,2040,1956,84,5546,6298,24708,40800,1e-05,1.0000000000000002e-06,0.9229610085252079
4,16,1.0,7,primitive,14,26,0,16,2936,2852,84,7450,8202,28076,46976,0.001,0.0001,3.4954341574384e-05
4,16,1.0,7,primitive,14,26,0,16,2936,2852,84,7450,8202,28076,46976,0.0001,1e-05,0.3585100247505219
4,16,1.0,7,primitive,14,26,0,16,2936,2852,84,7450,8202,28076,46976,1e-05,1.0000000000000002e-06,0.9025092075632802
4,16,1.0,7,pipelined,14,26,0,16,2544,2460,84,6778,7530,23148,40704,0.001,0.0001,0.00011207895174195759
4,16,1.0,7,pipelined,14,26,0,16,2544,2460,84,6778,7530,23148,40704,0.0001,1e-05,0.40280002758037714
4,16,1.0,7,pipelined,14,26,0,16,2544,2460,84,6778,7530,23148,40704,1e-05,1.0000000000000002e-06,0.9130831305267
4,16,1.0,8,naive_pauli,12,29,0,16,438,0,438,438,438,6132,7008,0.001,0.0001,0.3494307741062664
4,16,1.0,8,naive_pauli,12,29,0,16,438,0,438,438,438,6132,7008,0.0001,1e-05,0.9002142425149232
4,16,1.0,8,naive_pauli,12,29,0,16,438,0,438,438,438,6132,7008,1e-05,1.0000000000000002e-06,0.9895430332747231
4,16,1.0,8,1d,12,29,0,16,600,516,84,1198,2246,3076,9600,0.001,0.0001,0.22174775526582555
4,16,1.0,8,1d,12,29,0,16,600,516,84,1198,2246,3076,9600,0.0001,1e-05,0.8602208295068212
4,16,1.0,8,1d,12,29,0,16,600,516,84,1198,2246,3076,9600,1e-05,1.0000000000000002e-06,0.9850567143587274
4,16,1.0,8,ancilla,12,29,4,20,1752,1668,84,4780,5426,21280,35040,0.001,0.0001,0.0009972610351866092
4,16,1.0,8,ancilla,12,29,4,20,1752,1668,84,4780,5426,21280,35040,0.0001,1e-05,0.5011624566949775
4,16,1.0,8,ancilla,12,29,4,20,1752,1668,84,4780,5426,21280,35040,1e-05,1.0000000000000002e-06,0.9332517839514953
4,16,1.0,8,primitive,12,29,0,16,2520,2436,84,6412,7058,24136,40320,0.001,0.0001,0.00014643501273815348
4,16,1.0,8,primitive,12,29,0,16,2520,2436,84,6412,7058,24136,40320,0.0001,1e-05,0.41370866154984626
4,16,1.0,8,primitive,12,29,0,16,2520,2436,84,6412,7058,24136,40320,1e-05,1.0000000000000002e-06,0.9155261673753342
4,16,1.0,8,pipelined,12,29,0,16,2184,2100,84,5836,6482,19912,34944,0.001,0.0001,0.0003975382057353663
4,16,1.0,8,pipelined,12,29,0,16,2184,2100,84,5836,6482,19912,34944,0.0001,1e-05,0.457147045367065
4,16,1.0,8,pipelined,12,29,0,16,2184,2100,84,5836,6482,19912,34944,1e-05,1.0000000000000002e-06,0.9247125913929977
4,16,1.0,9,naive_pauli,9,20,0,16,252,0,252,252,252,3528,4032,0.001,0.0001,0.546105157712186
4,16,1.0,9,naive_pauli,9,20,0,16,252,0,252,252,252,3528,4032,0.0001,1e-05,0.9413112429015763
4,16,1.0,9,naive_pauli,9,20,0,16,252,0,252,252,252,3528,4032,1e-05,1.0000000000000002e-06,0.9939702380591883
4,16,1.0,9,1d,9,20,0,16,457,394,63,938,1762,2284,7312,0.001,0.0001,0.31133656989636005
4,16,1.0,9,1d,9,20,0,16,457,394,63,938,1762,2284,7312,0.0001,1e-05,0.889901225932409
4,16,1.0,9,1d,9,20,0,16,457,394,63,938,1762,2284,7312,1e-05,1.0000000000000002e-06,0.9884037132531466
