L,N,perm_kind,perm_idx,baseline,accounting_model,hall_decomposition_model,gamma_schedule_model,sampling_model,stim_seed,permutation_model,permutation_seed,permutation_sha256,numpy_version,cirq_version,openfermion_version,stim_version,n_ancillas,total_qubits,cnot_depth,total_cnots,n_fswap,n_2q_cnot_cz,total_idle_slots_layered,total_2q_gates_legacy,total_idle_slots_legacy,n_1q_hadamard,n_1q_other,n_1q_s_sdag,n_1q_rz,n_1q_pauli_z,spacetime_volume,p_2q,p_idle,mult_fidelity,mult_fidelity_legacy,stim_fidelity,stim_fidelity_ci_lo,stim_fidelity_ci_hi,stim_shots
4,16,transpose,0,1d,native_cnot_layers_stim_uniform_v2,not_applicable_1d,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,3601500419450611831,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,0,16,26,120,60,0,176,60,88,0,0,0,0,0,416,1e-05,1e-05,0.9970443617244658,0.9985210872708027,0.997072,0.9969641732887436,0.9971760077626285,1000000
4,16,transpose,0,ancilla,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,2318635607175805746,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,4,20,132,358,36,286,1924,322,1776,0,0,0,0,0,2640,0.0001,0.0001,0.7959559683900093,0.8107378737802382,0.806073,0.8052969092031824,0.8068467392721627,1000000
4,16,transpose,0,ancilla,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,6047921048854131323,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,4,20,132,358,36,286,1924,322,1776,0,0,0,0,0,2640,1e-05,1e-05,0.9774382953266005,0.9792384464218863,0.978616,0.9783306261990954,0.9788976966476626,1000000
4,16,transpose,0,primitive,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,4412002352121275058,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,0,16,106,306,36,234,1084,270,980,0,0,0,0,12,1696,0.0001,0.0001,0.870221979991251,0.8824913866284703,0.870115,0.8694546833960064,0.8707724730518094,1000000
4,16,transpose,0,primitive,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,7189932220915628012,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,0,16,106,306,36,234,1084,270,980,0,0,0,0,12,1696,1e-05,1e-05,0.986196090406915,0.9875777387699155,0.986366,0.986136835217098,0.9865914280872758,1000000
4,16,transpose,0,pipelined,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,932986541973931246,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,0,16,92,282,36,210,908,246,804,0,0,0,0,12,1472,0.0001,0.0001,0.8878025179690744,0.9003197955798045,0.888428,0.8878094338617953,0.889043581889288,1000000
4,16,transpose,0,pipelined,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,3821708499484675545,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,0,16,92,282,36,210,908,246,804,0,0,0,0,12,1472,1e-05,1e-05,0.988170466177257,0.9895548806159675,0.988339,0.9881267048637918,0.9885475432822435,1000000
4,16,transpose,0,folded,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,folded_boundary_l3_l6_v1,stim_flipsim_process_fidelity_sha256_row_key_v3,4705313825987705750,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,0,16,36,164,36,92,248,128,144,0,0,0,0,8,576,0.0001,0.0001,0.9596352063347554,0.9731652651480609,0.959704,0.9593167988144277,0.9600876693311128,1000000
4,16,transpose,0,folded,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,folded_boundary_l3_l6_v1,stim_flipsim_process_fidelity_sha256_row_key_v3,2103310517992733020,build_benchmark_permutation_raster_v1,-1,32e0c3056a803bf9d6259df05c74c206101d40cf520ee7da24cc95fca38a7919,2.5.2,1.7.0,1.8.1,1.16.0,0,16,36,164,36,92,248,128,144,0,0,0,0,8,576,1e-05,1e-05,0.9958884550408204,0.9972836822852018,0.995847,0.995719036155485,0.9959711543074256,1000000
4,16,random,0,1d,native_cnot_layers_stim_uniform_v2,not_applicable_1d,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,3574347840174906891,build_benchmark_permutation_raster_v1,0,fac757418ac73a42ee5b20f6439f53cf12190687e3459c47a5ee36501706ee3f,2.5.2,1.7.0,1.8.1,1.16.0,0,16,24,94,47,0,196,47,98,0,0,0,0,0,384,0.0001,0.0001,0.9714150558198451,0.9856039041216533,0.971646,0.9713188648775978,0.9719695115188912,1000000
