L,N,perm_kind,perm_idx,baseline,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnots,total_idle_slots,spacetime_volume,p_2q,p_idle,mult_fidelity,stim_fidelity,stim_shots
4,16,random,1,pipelined,0,16,237,237,237,3318,3792,1e-05,1.0000000000000002e-06,0.9943281326120518,0.997,1000
4,16,random,2,1d,0,16,69,69,69,966,1104,0.001,0.0001,0.8473517736778242,0.886,1000
4,16,random,2,1d,0,16,69,69,69,966,1104,0.0001,1e-05,0.983575976175013,0.993,1000
4,16,random,2,1d,0,16,69,69,69,966,1104,1e-05,1.0000000000000002e-06,0.9983453664848884,1.0,1000
4,16,random,2,ancilla,4,20,197,197,197,3546,3940,0.001,0.0001,0.5759604424780196,0.65,1000
4,16,random,2,ancilla,4,20,197,197,197,3546,3940,0.0001,1e-05,0.9463326224580177,0.955,1000
4,16,random,2,ancilla,4,20,197,197,197,3546,3940,1e-05,1.0000000000000002e-06,0.9944991736354364,0.998,1000
4,16,random,2,primitive,0,16,265,265,265,3710,4240,0.001,0.0001,0.5293258095522759,0.632,1000
4,16,random,2,primitive,0,16,265,265,265,3710,4240,0.0001,1e-05,0.9383788590747152,0.945,1000
4,16,random,2,primitive,0,16,265,265,265,3710,4240,1e-05,1.0000000000000002e-06,0.9936601669820911,0.993,1000
4,16,random,2,pipelined,0,16,241,241,241,3374,3856,0.001,0.0001,0.5607178441881042,0.657,1000
4,16,random,2,pipelined,0,16,241,241,241,3374,3856,0.0001,1e-05,0.943799646932548,0.953,1000
4,16,random,2,pipelined,0,16,241,241,241,3374,3856,1e-05,1.0000000000000002e-06,0.9942326814663506,0.996,1000
4,16,random,3,1d,0,16,65,65,65,910,1040,0.001,0.0001,0.855527473680359,0.897,1000
4,16,random,3,1d,0,16,65,65,65,910,1040,0.0001,1e-05,0.9845206849374198,0.989,1000
4,16,random,3,1d,0,16,65,65,65,910,1040,1e-05,1.0000000000000002e-06,0.9984412124682409,0.998,1000
4,16,random,3,ancilla,4,20,195,195,195,3510,3900,0.001,0.0001,0.5791955527409597,0.669,1000
4,16,random,3,ancilla,4,20,195,195,195,3510,3900,0.0001,1e-05,0.946862728312873,0.957,1000
4,16,random,3,ancilla,4,20,195,195,195,3510,3900,1e-05,1.0000000000000002e-06,0.9945548672659229,0.998,1000
