L,N,method,gamma_method,gamma_schedule_model,cirq_version,openfermion_version,numpy_version,pandas_version,matplotlib_version,networkx_version,accounting_model,rotation_inventory_model,hall_decomposition_model,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnot_equiv,total_idle_slots,total_idle_slots_layered,n_1q_nonz,n_exact_t,n_synth_rz,spacetime_volume,p_2q,p_idle,p_1q,mult_fidelity,mult_fidelity_legacy,verification_error
5,25,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,25,56,290,390,370,620,76,40,236,1400,0.001,0.001,0.001,0.36403497277104124,0.516680687935692,
5,25,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,25,56,290,390,370,620,76,40,236,1400,0.0001,0.0001,0.0001,0.9039284677312389,0.9361277748589071,
5,25,gamma_2d_core,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,25,56,290,390,370,620,76,40,236,1400,1e-05,1e-05,1e-05,0.9899507837230737,0.9934216993798518,
5,25,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,25,116,574,768,802,1364,76,40,236,2900,0.001,0.001,0.001,0.11847341243715272,0.25241304671754883,
5,25,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,25,116,574,768,802,1364,76,40,236,2900,0.0001,0.0001,0.0001,0.8079859084011598,0.8714412049838491,
5,25,gamma_2d_proper,folded,folded_boundary_l3_l6_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,25,116,574,768,802,1364,76,40,236,2900,1e-05,1e-05,1e-05,0.9789055602795218,0.9863341682151826,
5,25,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,5,30,348,1150,1344,7000,7752,76,40,236,10440,0.001,0.001,0.001,0.00011160429375211962,0.00028756037530710795,
5,25,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,5,30,348,1150,1344,7000,7752,76,40,236,10440,0.0001,0.0001,0.0001,0.40266695099910643,0.4426212889737663,
5,25,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,5,30,348,1150,1344,7000,7752,76,40,236,10440,1e-05,1e-05,1e-05,0.9130538170787649,0.9217323342457222,
6,36,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,36,188,891,1782,1602,3204,73,168,96,6768,0.001,0.001,0.001,0.006815917023936205,0.08255856723524341,
